Date;Open;High;Low;Close;Volume;Source
2026.04.10 04:00;4790.3999;4794.6001;4764.6001;4773.0;11727;yfinance-gcf
2026.04.10 08:00;4773.2998;4792.8999;4752.7002;4792.0;16319;yfinance-gcf
2026.04.10 12:00;4792.1001;4820.0;4779.2998;4785.7998;40813;yfinance-gcf
2026.04.10 16:00;4785.8999;4797.7002;4768.3999;4783.6001;22390;yfinance-gcf
2026.04.10 20:00;4783.5;4783.5;4764.0;4771.0;3254;yfinance-gcf
2026.04.12 20:00;4688.7002;4707.3999;4664.6001;4693.6001;10751;yfinance-gcf
2026.04.13 00:00;4693.7002;4749.5;4686.8999;4741.6001;15099;yfinance-gcf
2026.04.13 04:00;4740.0;4762.5;4729.2002;4756.3999;12199;yfinance-gcf
2026.04.13 08:00;4756.7002;4761.2002;4725.2002;4729.1001;13693;yfinance-gcf
2026.04.13 12:00;4728.6001;4768.0;4722.5;4736.8999;33848;yfinance-gcf
2026.04.13 16:00;4737.2002;4774.3999;4731.5;4765.5;31988;yfinance-gcf
2026.04.13 20:00;4765.2998;4789.7002;4762.2002;4781.2998;4477;yfinance-gcf
2026.04.14 00:00;4781.7002;4802.7998;4775.5;4792.2998;10656;yfinance-gcf
2026.04.14 04:00;4790.0;4820.3999;4780.0;4800.2002;16245;yfinance-gcf
2026.04.14 08:00;4799.6001;4813.7002;4773.2998;4797.1001;19931;yfinance-gcf
2026.04.14 12:00;4797.1001;4842.0;4784.2002;4831.8999;44113;yfinance-gcf
2026.04.14 16:00;4832.1001;4870.0;4829.0;4868.7002;29162;yfinance-gcf
2026.04.14 20:00;4869.2002;4874.6001;4857.2002;4861.7002;6275;yfinance-gcf
2026.04.15 00:00;4861.5;4895.3999;4841.0;4849.6001;18560;yfinance-gcf
2026.04.15 04:00;4848.0;4854.2998;4827.3999;4834.1001;12868;yfinance-gcf
2026.04.15 08:00;4833.7998;4845.3999;4808.3999;4835.7002;19075;yfinance-gcf
2026.04.15 12:00;4835.0;4854.6001;4807.8999;4823.5;29053;yfinance-gcf
2026.04.15 16:00;4824.0;4835.0;4812.2002;4818.2998;16958;yfinance-gcf
2026.04.15 20:00;4818.7002;4848.6001;4810.5;4845.3999;5936;yfinance-gcf
2026.04.16 00:00;4845.3999;4859.7002;4832.8999;4847.7002;12414;yfinance-gcf
2026.04.16 04:00;4846.2998;4861.2998;4836.0;4843.0;20584;yfinance-gcf
2026.04.16 08:00;4842.7998;4844.2998;4825.6001;4843.8999;12033;yfinance-gcf
2026.04.16 12:00;4844.1001;4846.2002;4792.1001;4828.2002;38545;yfinance-gcf
2026.04.16 16:00;4828.6001;4831.3999;4802.0;4814.5;15864;yfinance-gcf
2026.04.16 20:00;4814.7998;4818.7998;4806.0;4812.5;2824;yfinance-gcf
2026.04.17 00:00;4812.0;4822.2002;4785.8999;4814.1001;10974;yfinance-gcf
2026.04.17 04:00;4813.8999;4827.2002;4800.0;4805.5;11985;yfinance-gcf
2026.04.17 08:00;4806.1001;4834.0;4802.6001;4822.0;14261;yfinance-gcf
2026.04.17 12:00;4821.7002;4917.7002;4819.7998;4889.7002;70800;yfinance-gcf
2026.04.17 16:00;4889.5;4896.0;4873.6001;4875.5;14934;yfinance-gcf
2026.04.17 20:00;4875.6001;4879.6001;4848.0;4879.6001;5343;yfinance-gcf
2026.04.19 20:00;4813.3999;4815.0;4752.0;4775.0;11575;yfinance-gcf
2026.04.20 00:00;4774.3999;4834.5;4764.2002;4813.2998;17137;yfinance-gcf
2026.04.20 08:00;4879.6001;4879.6001;4804.6001;4830.8999;32519;yfinance-gcf
2026.04.20 12:00;4830.7998;4847.8999;4811.8999;4819.8999;39006;yfinance-gcf
2026.04.20 16:00;4819.7998;4842.1001;4812.5;4834.7998;14539;yfinance-gcf
2026.04.20 20:00;4835.0;4854.7998;4832.7998;4842.3999;5645;yfinance-gcf
2026.04.21 00:00;4843.0;4851.2002;4811.2002;4816.2998;11960;yfinance-gcf
2026.04.21 04:00;4816.1001;4828.7998;4790.7998;4804.8999;22869;yfinance-gcf
2026.04.21 08:00;4804.5;4818.0;4793.2998;4814.2002;14775;yfinance-gcf
2026.04.21 12:00;4814.3999;4816.7002;4740.8999;4759.7998;63304;yfinance-gcf
2026.04.21 16:00;4760.2998;4765.8999;4685.7998;4698.2998;47492;yfinance-gcf
2026.04.21 20:00;4698.5;4758.3999;4688.3999;4755.7998;11469;yfinance-gcf
2026.04.22 00:00;4756.2998;4782.7002;4753.5;4777.0;14341;yfinance-gcf
2026.04.22 04:00;4776.1001;4790.7998;4769.8999;4779.5;15962;yfinance-gcf
2026.04.22 08:00;4779.6001;4781.3999;4764.2998;4768.8999;13893;yfinance-gcf
2026.04.22 12:00;4769.2002;4779.3999;4743.2002;4746.2002;31047;yfinance-gcf
2026.04.22 16:00;4746.1001;4770.2002;4742.1001;4759.0;15166;yfinance-gcf
2026.04.22 20:00;4759.3999;4763.6001;4740.6001;4745.0;4511;yfinance-gcf
2026.04.23 00:00;4745.0;4771.2998;4710.3999;4720.0;26431;yfinance-gcf
2026.04.23 04:00;4719.0;4739.0;4705.7002;4736.1001;20339;yfinance-gcf
2026.04.23 08:00;4735.6001;4742.1001;4700.0;4737.3999;20490;yfinance-gcf
2026.04.23 12:00;4737.1001;4761.7002;4733.2998;4737.2998;37121;yfinance-gcf
2026.04.23 16:00;4709.63;4709.63;4689.32;4695.93;11810;mt5-bridge
2026.04.23 20:00;4695.95;4700.63;4686.4;4695.16;15088;mt5-bridge
2026.04.24 00:00;4695.61;4710.91;4668.52;4672.0;36363;mt5-bridge
2026.04.24 04:00;4671.65;4695.11;4657.7;4694.35;31452;mt5-bridge
2026.04.24 08:00;4693.75;4717.18;4674.53;4706.74;34533;mt5-bridge
2026.04.24 12:00;4706.75;4740.26;4689.69;4727.14;47675;mt5-bridge
2026.04.24 16:00;4727.27;4729.9;4713.56;4716.91;34290;mt5-bridge
2026.04.24 20:00;4716.0;4717.28;4705.27;4708.06;4430;mt5-bridge
2026.04.26 20:00;4696.1001;4704.0;4689.1001;4694.7998;3266;yfinance-gcf
