Date;Open;High;Low;Close;Volume;Source
2026.04.10 00:00;4790.3999;4820.0;4752.7002;4771.0;94503;yfinance-gcf
2026.04.12 00:00;4688.7002;4707.3999;4664.6001;4693.6001;10751;yfinance-gcf
2026.04.13 00:00;4693.7002;4789.7002;4686.8999;4781.2998;111304;yfinance-gcf
2026.04.14 00:00;4781.7002;4874.6001;4773.2998;4861.7002;126382;yfinance-gcf
2026.04.15 00:00;4861.5;4895.3999;4807.8999;4845.3999;102450;yfinance-gcf
2026.04.16 00:00;4845.3999;4861.2998;4792.1001;4812.5;102264;yfinance-gcf
2026.04.17 00:00;4812.0;4917.7002;4785.8999;4879.6001;128297;yfinance-gcf
2026.04.19 00:00;4813.3999;4815.0;4752.0;4775.0;11575;yfinance-gcf
2026.04.20 00:00;4774.3999;4879.6001;4764.2002;4842.3999;108846;yfinance-gcf
2026.04.21 00:00;4843.0;4851.2002;4685.7998;4755.7998;171869;yfinance-gcf
2026.04.22 00:00;4756.2998;4790.7998;4740.6001;4745.0;94920;yfinance-gcf
2026.04.23 00:00;4709.63;4709.63;4686.4;4695.16;26898;mt5-bridge
2026.04.24 00:00;4695.61;4740.26;4657.7;4708.06;188743;mt5-bridge
2026.04.26 00:00;4696.1001;4704.0;4689.1001;4694.7998;3266;yfinance-gcf
2026.04.27 00:00;4695.2998;4745.7998;4681.7998;4687.2998;56116;yfinance-gcf
