event_family,occurrences,avg_same_day_abs_return_pct,avg_next_day_abs_return_pct,avg_gold_move_score,max_same_day_abs_return_pct,max_next_day_abs_return_pct
Neptune ingress,6,1.2788735382932237,2.5915494528321092,3.225352492604444,2.354132901134509,7.248327461303994
Gann 315-Day Cycle from Spring Equinox,26,0.9776196871070331,1.2571709985417212,1.6331162702817819,7.248327461303994,9.943894876716364
Gann 225-Day Turn,27,0.7767161980967202,1.1101450529705421,1.3976750007905647,3.0899654483693584,4.5434750308687715
Gann Square-of-9 (20²=400 days from Jan 1),26,0.8438766546932293,0.9496010461540401,1.3795982314209765,5.569635409391161,4.7337278106508895
Gann 270-Day Cycle from Summer Solstice,26,0.7191023165821407,1.13859864149329,1.3575507001320457,3.490722763755738,3.511209739303567
Gann 45-Day Cycle from Winter Solstice,26,0.8419656837495249,0.8146095505217746,1.338003073834511,4.150606966607839,5.569635409391161
Gann 45-Day Cycle from Autumn Equinox,27,0.8619664616795248,0.9066977597610265,1.3101216455115194,3.0899654483693584,4.5434750308687715
Gann Square-of-9 (2²=4 days from Jan 1),27,0.8584059697648494,0.8494311506838148,1.2650645336656774,2.8903608319051477,2.76348389555936
Gann 180-Day Cycle from Spring Equinox,27,0.7553019205707495,1.02836686964551,1.2551743338558863,2.286297268819726,10.989717223650386
Pluto ingress,8,0.8956156816007107,2.4131943784445125,1.2408037725169587,1.2275420222460198,5.796568627450971
Gann Square-of-9 (13²=169 days from Jan 1),27,0.7831834236420554,0.8875406837704874,1.23757341289818,3.3042130477666687,4.930312428295435
Gann Square-of-9 (8²=64 days from Jan 1),27,0.9652754843535147,0.6049878262327919,1.221315908233794,2.6150007926773244,1.9816748348604363
Gann 60-Day Cycle from Winter Solstice,26,0.7136042574373327,0.9337220076329785,1.2038153475513813,3.179854254646941,3.195374315276922
Gann 180-Day Cycle from Winter Solstice,26,0.8001546831837791,0.9217669878568037,1.192099618412711,3.3042130477666687,4.930312428295435
Gann Square-of-9 (5²=25 days from Jan 1),27,0.6654821308499681,0.9361070073770499,1.1863623246126058,2.354132901134509,7.248327461303994
Gann Pressure Point (4 cycles align),46,0.6566741275016656,0.8417328328151308,1.1726663167696667,2.4205748865355536,4.9557522123893865
Gann Spring Equinox,27,0.6676676698763057,0.8982783555900052,1.159960018863934,3.511191259149249,4.501453138998757
Gann 144-Day Cycle from Spring Equinox,27,1.1096662533428974,0.5270100958119365,1.1517352086645127,5.6736749177603185,1.3736931680038977
Gann 270-Day Cycle from Spring Equinox,27,0.8865439126817938,0.7442098756251686,1.147567480660455,2.472266762655828,2.4025818790341935
Gann Autumn Equinox,27,0.9537519496748864,0.8665288738089563,1.1461027407120492,4.952588931670587,2.123931397015877
Gann 315-Day Cycle from Summer Solstice,26,0.9436563570907675,0.5442523063162641,1.1445451256977166,2.794570548648345,1.8960555273404456
Venus–Jupiter conjunction,26,1.019111259750525,0.39343490506274525,1.140902671579949,5.796568627450971,1.7041758813581165
Gann 270-Day Cycle from Autumn Equinox,26,0.879649652894984,0.767699981250666,1.140472823639296,3.3042130477666687,4.930312428295435
Gann 360-Day Cycle from Autumn Equinox,26,0.9966675545255994,0.6421632200334704,1.1345751516178175,10.989717223650386,4.091085995985977
Gann 45-Day Turn,27,0.7545973328269352,0.8945262897525922,1.1325463517105216,2.890473104342184,2.8944558423016575
