Date;Open;High;Low;Close;Volume;Source
2026.04.22 02:00;4744.645;4744.645;4744.645;4744.645;0.0;stooq-resampled-1h
2026.04.22 03:00;4741.365;4741.365;4741.365;4741.365;0.0;stooq-resampled-1h
2026.04.22 04:00;4752.945;4752.945;4752.945;4752.945;0.0;stooq-resampled-1h
2026.04.22 05:00;4759.215;4759.215;4759.215;4759.215;0.0;stooq-resampled-1h
2026.04.22 10:00;4757.775;4757.775;4757.775;4757.775;0.0;stooq-resampled-1h
2026.04.22 11:00;4760.185;4760.185;4760.185;4760.185;0.0;stooq-resampled-1h
2026.04.22 12:00;4749.995;4749.995;4749.995;4749.995;0.0;stooq-resampled-1h
2026.04.22 13:00;4758.115;4758.115;4758.115;4758.115;0.0;stooq-resampled-1h
2026.04.22 14:00;4756.535;4756.535;4756.535;4756.535;0.0;stooq-resampled-1h
2026.04.22 15:00;4741.435;4741.435;4741.435;4741.435;0.0;stooq-resampled-1h
2026.04.22 17:00;4737.615;4737.615;4737.615;4737.615;0.0;stooq-resampled-1h
2026.04.22 18:00;4730.745;4731.165;4730.745;4731.165;0.0;stooq-resampled-1h
2026.04.22 19:00;4735.545;4735.545;4735.545;4735.545;0.0;stooq-resampled-1h
2026.04.22 20:00;4736.935;4736.935;4736.935;4736.935;0.0;stooq-resampled-1h
