Date;Open;High;Low;Close;Volume;Source
2026.04.14 08:00;4773.155;4780.115;4773.155;4780.115;0.0;stooq-resampled-4h
2026.04.14 12:00;4780.845;4787.345;4766.555;4779.075;0.0;stooq-resampled-4h
2026.04.14 16:00;4795.455;4815.575;4795.455;4815.575;0.0;stooq-resampled-4h
2026.04.15 04:00;4826.465;4826.465;4817.375;4817.375;0.0;stooq-resampled-4h
2026.04.15 08:00;4807.885;4814.835;4807.885;4814.835;0.0;stooq-resampled-4h
2026.04.15 12:00;4803.245;4814.395;4803.245;4811.955;0.0;stooq-resampled-4h
2026.04.15 16:00;4824.895;4824.895;4801.115;4801.115;0.0;stooq-resampled-4h
2026.04.16 00:00;4819.245;4819.245;4819.245;4819.245;0.0;stooq-resampled-4h
2026.04.16 04:00;4818.865;4826.345;4818.865;4823.615;0.0;stooq-resampled-4h
2026.04.17 00:00;4776.275;4787.745;4776.275;4787.745;0.0;stooq-resampled-4h
2026.04.17 04:00;4792.205;4793.565;4788.865;4793.565;0.0;stooq-resampled-4h
2026.04.17 08:00;4787.015;4796.055;4787.015;4796.055;0.0;stooq-resampled-4h
2026.04.17 12:00;4791.195;4844.585;4785.375;4844.585;0.0;stooq-resampled-4h
2026.04.17 16:00;4867.765;4871.405;4866.875;4866.875;0.0;stooq-resampled-4h
2026.04.17 20:00;4854.675;4854.675;4854.675;4854.675;0.0;stooq-resampled-4h
2026.04.21 16:00;4743.845;4743.845;4713.085;4713.085;0.0;stooq-resampled-4h
2026.04.21 20:00;4710.945;4710.945;4710.945;4710.945;0.0;stooq-resampled-4h
2026.04.22 00:00;4744.645;4744.645;4741.365;4741.365;0.0;stooq-resampled-4h
2026.04.22 04:00;4752.945;4759.215;4752.945;4759.215;0.0;stooq-resampled-4h
2026.04.22 08:00;4757.775;4760.185;4757.775;4760.185;0.0;stooq-resampled-4h
2026.04.22 12:00;4749.995;4758.115;4741.435;4741.435;0.0;stooq-resampled-4h
2026.04.22 16:00;4737.615;4737.615;4730.745;4735.545;0.0;stooq-resampled-4h
2026.04.22 20:00;4736.935;4736.935;4736.935;4736.935;0.0;stooq-resampled-4h
2026.04.23 00:00;4738.945;4738.945;4738.945;4738.945;0.0;stooq-resampled-4h
2026.04.23 04:00;4720.865;4720.865;4702.185;4707.555;0.0;stooq-resampled-4h
2026.04.23 08:00;4713.035;4721.895;4697.015;4697.015;0.0;stooq-resampled-4h
2026.04.23 16:00;4731.785;4731.785;4718.495;4725.425;0.0;stooq-resampled-4h
2026.04.23 20:00;4714.705;4714.705;4714.705;4714.705;0.0;stooq-resampled-4h
2026.04.24 00:00;4699.665;4699.665;4698.995;4698.995;0.0;stooq-resampled-4h
2026.04.24 04:00;4696.725;4696.725;4672.835;4681.425;0.0;stooq-resampled-4h
2026.04.24 08:00;4683.875;4691.265;4682.095;4690.865;0.0;stooq-resampled-4h
2026.04.24 12:00;4679.095;4708.385;4679.095;4697.115;0.0;stooq-resampled-4h
2026.04.24 16:00;4714.065;4728.195;4714.065;4727.765;0.0;stooq-resampled-4h
2026.04.24 20:00;4722.595;4723.095;4717.605;4717.605;0.0;stooq-resampled-4h
