Date;Open;High;Low;Close;Volume
2004.06.01 00:00;384;404.6;381.1;393.3;24903
2004.07.01 00:00;391.6;408.6;384.5;390.5;34840
2004.08.01 00:00;390.3;413.8;388.1;409.3;40483
2004.09.01 00:00;409.6;418.6;394.3;417.8;47047
2004.10.01 00:00;417.8;430.2;409.1;428.1;25857
2004.11.01 00:00;429.6;454.8;416.8;450.3;26742
2004.12.01 00:00;450.7;456.3;431.5;437;25902
2005.01.01 00:00;437.1;437.3;416.5;422.1;32619
2005.02.01 00:00;422.1;437.7;409.8;435;36360
2005.03.01 00:00;435;446.6;423.1;427.8;26681
2005.04.01 00:00;427.7;437.2;421.7;434;32970
2005.05.01 00:00;433.8;434.1;413.3;416.8;34514
2005.06.01 00:00;416.6;443.2;414.2;434.5;17282
2005.07.01 00:00;434.2;436.2;417.8;429.3;14226
2005.08.01 00:00;429.2;449.1;428.6;434.6;19704
2005.09.01 00:00;434.8;475;434.3;468.8;24669
2005.10.01 00:00;467.3;480;459.5;465.2;24110
2005.11.01 00:00;465.6;502.2;454.8;498.5;21141
2005.12.01 00:00;491.5;540.5;489.3;514.6;27651
2006.01.01 00:00;516.8;572.2;516.3;568.7;34300
2006.02.01 00:00;569.2;574.7;534.6;562;24038
2006.03.01 00:00;562.1;589.1;533.7;583.5;19029
2006.04.01 00:00;572.2;655.5;572.2;653.7;20719
2006.05.01 00:00;654.1;729.7;635.6;642.7;45716
2006.06.01 00:00;643.1;645.2;542.5;615.2;46392
2006.07.01 00:00;617;676;602.1;635.7;21447
2006.08.01 00:00;635.2;655.5;607;624.6;21618
2006.09.01 00:00;626;640.2;570.2;597.7;49090
2006.10.01 00:00;598.2;610.6;559.2;606.1;65291
2006.11.01 00:00;606;648.2;605.1;647.2;63698
2006.12.01 00:00;646.1;649.6;611.1;636.2;45617
