Date;Open;High;Low;Close;Volume
2004.06.11 07:15;384;384.3;383.8;384.3;12
2004.06.11 07:30;383.8;384.3;383.6;383.8;12
2004.06.11 07:45;383.3;383.8;383.3;383.8;20
2004.06.11 08:00;383.8;384.1;383.6;383.6;8
2004.06.11 08:15;383.6;384.3;383.5;383.5;20
2004.06.11 08:30;383.3;383.5;383.3;383.5;7
2004.06.11 08:45;383.3;383.3;383.1;383.1;6
2004.06.11 09:00;383.1;384.1;383.1;383.6;9
2004.06.11 09:15;383.8;384;382.8;383;15
2004.06.11 09:30;383.1;383.3;382.8;383;20
2004.06.11 09:45;383;383.3;382.8;383.1;11
2004.06.11 10:00;383;383.6;383;383.6;10
2004.06.11 10:15;383.6;383.6;383.6;383.6;2
2004.06.11 10:30;383.6;383.8;383.5;383.6;10
2004.06.11 10:45;383.6;383.8;383.6;383.6;11
2004.06.11 11:00;383.6;383.6;383.5;383.6;8
2004.06.11 11:15;383.6;383.6;383.6;383.6;4
2004.06.11 11:30;383.6;383.6;383.6;383.6;5
2004.06.11 11:45;383.6;383.8;383.6;383.6;6
2004.06.11 12:00;383.5;384.1;383.5;383.6;9
2004.06.11 12:15;383.6;383.6;383.5;383.6;3
2004.06.11 12:30;383.6;383.6;383.6;383.6;4
2004.06.11 12:45;383.8;383.8;383.3;383.3;4
2004.06.11 13:00;383.6;383.6;383.6;383.6;3
2004.06.11 13:15;383.8;383.8;383.6;383.8;4
2004.06.11 13:30;383.6;384.3;383.6;384.3;4
2004.06.11 13:45;384.1;384.3;384;384;4
2004.06.11 14:30;383.8;383.8;383.8;383.8;2
2004.06.11 14:45;383.8;383.8;383.8;383.8;2
2004.06.11 15:00;383.8;383.8;383.8;383.8;1
2004.06.11 15:15;384.1;384.3;384.1;384.3;2
2004.06.11 15:30;384.3;384.3;384.1;384.1;4
2004.06.11 15:45;384.6;384.6;384.6;384.6;2
2004.06.11 16:00;384.3;384.3;384.3;384.3;1
2004.06.11 16:15;384.3;384.8;384.1;384.6;5
2004.06.11 16:30;384.3;384.3;384.1;384.3;6
2004.06.11 16:45;384.3;384.3;384.1;384.3;7
2004.06.11 17:00;384.1;384.1;384.1;384.1;1
2004.06.11 17:15;384.1;384.1;384.1;384.1;2
2004.06.11 17:30;384.3;384.3;384.1;384.1;2
2004.06.11 17:45;383.8;383.8;383.8;383.8;1
